Duration (in seconds),Finished,consent_1,self_tipi_1_1,self_tipi_2_1,self_tipi_3_1,self_tipi_4_1,self_tipi_5_1,self_tipi_6_1,self_tipi_7_1,self_tipi_8_1,self_tipi_9_1,self_tipi_10_1,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,self_ittp_O1_1,self_ittp_O2_1,self_ittp_O3_1,self_ittp_O4_1,self_ittp_C1_1,self_ittp_C2_1,self_ittp_C3_1,self_ittp_C4_1,self_ittp_E1_1,self_ittp_E2_1,self_ittp_E3_1,self_ittp_E4_1,self_ittp_A1_1,self_ittp_A2_1,self_ittp_A3_1,self_ittp_A4_1,self_ittp_N1_1,self_ittp_N2_1,self_ittp_N3_1,self_ittp_N4_1,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,self_mon1_1,self_mon2_1,self_mon3_1,self_mon4_1,self_mon5_1,self_mon6_1,self_mon7_1,self_mon8_1,self_mon9_1,self_mon10_1,self_mon11_1,self_mon12_1,self_mon13_1,Q171_First Click,Q171_Last Click,Q171_Page Submit,Q171_Click Count,targets_1,targets_19,targets_20,targets_21,targets_2,targets_22,targets_23,targets_24,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,tar_tipi_1_1,tar_tipi_1_2,tar_tipi_1_3,tar_tipi_1_4,tar_tipi_1_5,tar_tipi_1_6,tar_tipi_1_7,tar_tipi_1_8,tar_tipi_2_1,tar_tipi_2_2,tar_tipi_2_3,tar_tipi_2_4,tar_tipi_2_5,tar_tipi_2_6,tar_tipi_2_7,tar_tipi_2_8,tar_tipi_3_1,tar_tipi_3_2,tar_tipi_3_3,tar_tipi_3_4,tar_tipi_3_5,tar_tipi_3_6,tar_tipi_3_7,tar_tipi_3_8,tar_tipi_4_1,tar_tipi_4_2,tar_tipi_4_3,tar_tipi_4_4,tar_tipi_4_5,tar_tipi_4_6,tar_tipi_4_7,tar_tipi_4_8,tar_tipi_5_1,tar_tipi_5_2,tar_tipi_5_3,tar_tipi_5_4,tar_tipi_5_5,tar_tipi_5_6,tar_tipi_5_7,tar_tipi_5_8,tar_tipi_6_1,tar_tipi_6_2,tar_tipi_6_3,tar_tipi_6_4,tar_tipi_6_5,tar_tipi_6_6,tar_tipi_6_7,tar_tipi_6_8,tar_tipi_7_1,tar_tipi_7_2,tar_tipi_7_3,tar_tipi_7_4,tar_tipi_7_5,tar_tipi_7_6,tar_tipi_7_7,tar_tipi_7_8,tar_tipi_8_1,tar_tipi_8_2,tar_tipi_8_3,tar_tipi_8_4,tar_tipi_8_5,tar_tipi_8_6,tar_tipi_8_7,tar_tipi_8_8,tar_tipi_9_1,tar_tipi_9_2,tar_tipi_9_3,tar_tipi_9_4,tar_tipi_9_5,tar_tipi_9_6,tar_tipi_9_7,tar_tipi_9_8,tar_tipi_10_1,tar_tipi_10_2,tar_tipi_10_3,tar_tipi_10_4,tar_tipi_10_5,tar_tipi_10_6,tar_tipi_10_7,tar_tipi_10_8,Q152_First Click,Q152_Last Click,Q152_Page Submit,Q152_Click Count,tar_ittp_O1_1,tar_ittp_O1_2,tar_ittp_O1_3,tar_ittp_O1_4,tar_ittp_O1_5,tar_ittp_O1_6,tar_ittp_O1_7,tar_ittp_O1_8,tar_ittp_O2_1,tar_ittp_O2_2,tar_ittp_O2_3,tar_ittp_O2_4,tar_ittp_O2_5,tar_ittp_O2_6,tar_ittp_O2_7,tar_ittp_O2_8,tar_ittp_O3_1,tar_ittp_O3_2,tar_ittp_O3_3,tar_ittp_O3_4,tar_ittp_O3_5,tar_ittp_O3_6,tar_ittp_O3_7,tar_ittp_O3_8,tar_ittp_O4_1,tar_ittp_O4_2,tar_ittp_O4_3,tar_ittp_O4_4,tar_ittp_O4_5,tar_ittp_O4_6,tar_ittp_O4_7,tar_ittp_O4_8,tar_ittp_C1_1,tar_ittp_C1_2,tar_ittp_C1_3,tar_ittp_C1_4,tar_ittp_C1_5,tar_ittp_C1_6,tar_ittp_C1_7,tar_ittp_C1_8,tar_ittp_C2_1,tar_ittp_C2_2,tar_ittp_C2_3,tar_ittp_C2_4,tar_ittp_C2_5,tar_ittp_C2_6,tar_ittp_C2_7,tar_ittp_C2_8,tar_ittp_C3_1,tar_ittp_C3_2,tar_ittp_C3_3,tar_ittp_C3_4,tar_ittp_C3_5,tar_ittp_C3_6,tar_ittp_C3_7,tar_ittp_C3_8,tar_ittp_C4_1,tar_ittp_C4_2,tar_ittp_C4_3,tar_ittp_C4_4,tar_ittp_C4_5,tar_ittp_C4_6,tar_ittp_C4_7,tar_ittp_C4_8,tar_ittp_E1_1,tar_ittp_E1_2,tar_ittp_E1_3,tar_ittp_E1_4,tar_ittp_E1_5,tar_ittp_E1_6,tar_ittp_E1_7,tar_ittp_E1_8,tar_ittp_E2_1,tar_ittp_E2_2,tar_ittp_E2_3,tar_ittp_E2_4,tar_ittp_E2_5,tar_ittp_E2_6,tar_ittp_E2_7,tar_ittp_E2_8,tar_ittp_E3_1,tar_ittp_E3_2,tar_ittp_E3_3,tar_ittp_E3_4,tar_ittp_E3_5,tar_ittp_E3_6,tar_ittp_E3_7,tar_ittp_E3_8,tar_ittp_E4_1,tar_ittp_E4_2,tar_ittp_E4_3,tar_ittp_E4_4,tar_ittp_E4_5,tar_ittp_E4_6,tar_ittp_E4_7,tar_ittp_E4_8,tar_ittp_A1_1,tar_ittp_A1_2,tar_ittp_A1_3,tar_ittp_A1_4,tar_ittp_A1_5,tar_ittp_A1_6,tar_ittp_A1_7,tar_ittp_A1_8,tar_ittp_A2_1,tar_ittp_A2_2,tar_ittp_A2_3,tar_ittp_A2_4,tar_ittp_A2_5,tar_ittp_A2_6,tar_ittp_A2_7,tar_ittp_A2_8,tar_ittp_A3_1,tar_ittp_A3_2,tar_ittp_A3_3,tar_ittp_A3_4,tar_ittp_A3_5,tar_ittp_A3_6,tar_ittp_A3_7,tar_ittp_A3_8,tar_ittp_A4_1,tar_ittp_A4_2,tar_ittp_A4_3,tar_ittp_A4_4,tar_ittp_A4_5,tar_ittp_A4_6,tar_ittp_A4_7,tar_ittp_A4_8,tar_ittp_N1_1,tar_ittp_N1_2,tar_ittp_N1_3,tar_ittp_N1_4,tar_ittp_N1_5,tar_ittp_N1_6,tar_ittp_N1_7,tar_ittp_N1_8,tar_ittp_N2_1,tar_ittp_N2_2,tar_ittp_N2_3,tar_ittp_N2_4,tar_ittp_N2_5,tar_ittp_N2_6,tar_ittp_N2_7,tar_ittp_N2_8,tar_ittp_N3_1,tar_ittp_N3_2,tar_ittp_N3_3,tar_ittp_N3_4,tar_ittp_N3_5,tar_ittp_N3_6,tar_ittp_N3_7,tar_ittp_N3_8,tar_ittp_N4_1,tar_ittp_N4_2,tar_ittp_N4_3,tar_ittp_N4_4,tar_ittp_N4_5,tar_ittp_N4_6,tar_ittp_N4_7,tar_ittp_N4_8,Q153_First Click,Q153_Last Click,Q153_Page Submit,Q153_Click Count,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,similarity_6,similarity_7,similarity_8,similarity_9,similarity_10,similarity_11,similarity_12,similarity_13,similarity_14,similarity_15,similarity_16,similarity_17,similarity_18,similarity_19,similarity_20,similarity_21,similarity_22,similarity_23,similarity_24,similarity_25,similarity_26,similarity_27,similarity_28,similarity_29,similarity_30,similarity_31,similarity_32,similarity_33,similarity_34,similarity_35,similarity_36,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count
1209,TRUE,1,5,2,6,3,5,5,5,2,5,2,9.594,30.594,31.666,13,3,3,2,3,2,2,2,3,1,4,2,3,3,2,3,3,1,1,2,1,5.645,112.315,112.957,26,4,5,3,2,4,3,3,4,0,4,4,2,4,11.344,74.542,75.698,14,Shane M,Jen W,Sun H,Ting F,Ryan G,Nick M,Kat K,Emma R,8.189,102.066,149.533,8,1,4,7,4,5,6,5,7,5,5,6,4,5,6,7,5,5,4,6,5,6,6,2,4,5,3,5,3,4,4,7,5,2,6,7,6,6,7,3,6,6,2,1,3,1,1,1,1,5,4,6,3,5,6,2,3,2,5,3,5,4,2,5,5,4,5,4,5,5,6,2,3,4,2,2,2,2,2,3,2,4.088,252.68,253.965,86,4,2,3,3,3,2,3,4,3,2,2,2,2,2,3,3,3,2,2,2,2,1,4,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,3,1,2,2,3,3,2,2,2,2,3,2,3,3,3,2,2,2,2,3,4,4,1,1,1,1,1,1,1,1,3,2,4,2,2,3,5,3,2,2,1,1,1,2,3,4,3,2,3,2,2,3,5,4,5,3,3,3,2,4,5,4,3,3,4,3,3,3,5,5,2,2,4,2,2,3,5,3,3,3,4,3,3,4,4,5,2,2,2,2,2,2,4,3,2,1,1,1,1,1,3,2,3,2,3,2,2,2,4,3,2,2,3,2,2,2,5,4,9.777,338.677,339.216,182,2,2,2,3,2,1,1,1,3,2,4,2,2,3,3,3,1,2,3,1,1,1,2,1,1,,1,4,4,2,4,2,3,4,1,1,13.623,114.088,114.853,37
1309,TRUE,1,2,1,7,5,4,6,6,1,5,3,6.126,71.138,72.143,10,3,4,3,3,5,3,2,3,1,4,1,3,4,5,4,5,2,2,5,1,10.068,183.285,184.446,22,4,3,3,4,4,3,4,4,2,4,3,3,4,12.416,115.29,118.295,13,Jason C.,Nicole G.,Terrie S.,Mina S.,Tamara P.,Maureen P.,Ashley C.,Nasandra W.,13.508,56.588,72.196,7,4,6,6,7,6,4,6,1,5,2,2,5,4,3,4,7,7,6,6,6,6,6,5,1,1,2,2,2,2,3,6,7,5,6,6,7,7,4,5,1,5,3,2,3,3,3,6,1,7,7,7,7,7,7,7,1,2,2,2,2,2,4,4,7,7,4,5,3,3,3,4,1,5,3,4,5,5,3,5,7,15.834,234.856,235.243,87,2,2,2,3,2,4,2,5,4,2,3,3,2,3,3,5,2,2,3,3,2,3,4,5,5,4,5,4,3,4,4,5,3,3,4,4,4,4,4,5,4,4,5,3,3,4,3,5,3,2,3,3,2,4,4,5,1,3,2,1,1,2,2,5,1,1,1,1,1,1,1,5,4,3,3,2,4,5,2,2,1,1,1,1,1,1,1,1,3,2,3,2,2,3,2,1,3,4,3,4,3,4,4,1,4,4,3,3,3,4,2,1,3,3,3,4,3,4,3,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,4,1,2,5,5,5,5,5,5,1,3,2,3,3,3,2,2,5,15.097,399.984,401.485,164,3,4,3,3,4,1,1,3,3,2,4,2,1,3,2,3,1,1,5,3,2,1,3,1,1,1,1,2,5,3,4,4,4,4,3,1,6.943,84.416,85.385,36
1079,TRUE,1,5,5,5,7,6,2,7,2,4,2,6.994,34.686,36.212,11,5,4,3,3,1,5,4,5,2,4,2,1,5,4,4,5,1,4,5,1,13.019,133.575,136.479,30,4,4,5,3,4,5,5,4,1,4,4,1,4,14.417,71.97,73.19,16,Aruna V,Sophie N,Aaron R,Bharwadwaj V,Amishi S,Ishan G,Julian J,Koby G,9.217,83.798,87.638,14,6,2,6,4,4,7,2,3,6,6,6,2,3,2,4,2,7,5,2,7,6,6,4,5,7,5,6,2,3,4,3,2,5,4,4,6,4,7,7,5,3,6,3,4,5,3,5,6,7,6,2,7,7,4,6,6,2,6,6,2,5,4,4,6,3,4,2,6,5,3,6,6,5,5,1,1,1,4,2,4,17.54,252.772,253.526,85,4,5,5,3,4,2,2,1,5,4,5,3,5,3,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,4,2,1,2,2,1,2,1,1,2,5,5,5,5,5,5,5,5,4,3,2,2,4,4,3,3,4,2,1,5,2,2,2,3,2,1,1,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,2,5,2,5,2,2,4,2,2,4,2,4,3,3,3,11.614,293.981,295.338,184,2,1,4,5,3,2,1,2,2,3,4,1,3,1,1,3,2,1,4,1,2,3,1,3,2,2,4,2,5,3,4,4,5,3,2,3,4.237,115.103,116.119,43
1655,TRUE,1,5,5,7,4,5,4,6,3,5,4,7.692,38.347,39.808,10,3,3,2,2,2,3,3,2,1,3,2,2,4,3,4,5,1,1,2,1,16.963,199.03,200.584,28,4,3,2,1,2,3,1,4,3,4,2,2,4,9.836,90.21,93.893,16,bryan,dave,nick,ski,keener,tran,pab,daig,14.8,141.545,154.148,5,5,5,5,7,7,5,7,2,4,6,3,2,7,7,7,7,7,7,5,4,5,3,1,1,2,4,4,5,6,5,6,6,6,3,6,6,4,6,2,2,4,5,5,3,3,2,3,6,7,6,6,7,4,3,5,1,1,1,1,4,4,5,6,7,7,6,5,6,6,6,2,1,2,3,2,2,2,5,5,5,13.335,316.674,318.762,85,1,4,1,3,3,4,5,5,2,4,1,3,4,3,5,5,2,4,2,4,4,4,3,3,4,5,4,3,3,1,1,1,4,5,2,2,4,2,1,1,4,4,2,2,4,1,1,1,3,5,3,2,4,3,1,1,2,3,2,2,2,3,5,5,2,3,2,3,4,3,1,1,4,3,1,3,3,3,5,5,2,3,1,2,3,3,4,4,3,5,3,4,1,1,1,1,5,5,4,4,4,4,5,5,3,4,3,3,4,4,5,5,4,3,4,5,3,3,2,2,5,5,5,3,2,4,1,1,1,2,1,2,3,3,4,4,1,1,1,1,3,3,4,4,2,4,2,2,4,4,5,5,1,3,1,1,3,3,5,5,21.828,599.266,600.752,170,2,4,3,2,1,1,1,3,2,2,2,2,1,3,1,2,1,1,2,1,2,1,3,1,2,2,3,4,4,2,4,3,3,2,1,1,19.611,143.482,144.27,39
658,TRUE,1,3,4,5,4,4,5,4,3,4,5,1.639,25.121,25.851,22,2,3,3,4,3,4,4,2,2,3,2,2,4,4,3,3,4,4,3,3,2.085,77.688,78.23,60,4,2,4,1,3,3,2,2,1,3,3,2,3,0.9,51.577,52.842,40,Gavin H,MIchael C,Connor M,Jack S,Hunter E,Tanner B,Jake D,Lisa F,1.061,58.252,60.598,16,3,7,3,5,6,4,4,7,6,5,4,5,4,5,4,6,7,6,7,5,3,5,5,6,2,3,2,3,6,4,4,3,3,6,4,5,6,6,4,6,5,1,5,1,3,4,4,1,3,3,4,4,7,4,4,3,2,5,2,5,6,4,5,4,6,3,6,4,3,4,4,3,5,2,5,3,5,4,5,2,1.259,185.046,185.824,129,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.665,105.894,107.195,221,1,3,2,3,1,2,1,1,4,2,3,1,4,2,2,2,2,1,2,3,2,2,1,2,1,2,1,2,3,2,3,3,3,2,3,2,1.928,82.832,83.563,54
1679,TRUE,1,6,1,7,4,6,5,7,1,7,1,12.251,45.981,47.376,10,3,5,3,3,2,3,4,3,2,2,2,3,5,4,4,5,2,2,5,1,10.409,254.846,256.42,23,5,4,4,4,4,4,3,5,0,4,4,0,4,12.978,80.011,81.601,14,Lori T,John R,Jack S,Mike T,Kelsi R,Megan H,Xia L,Nick S,24.132,198.007,208.967,14,5,7,7,5,7,5,1,7,1,1,2,4,7,1,6,1,7,7,7,5,7,7,5,1,2,3,3,5,6,4,6,5,6,5,7,5,3,7,1,7,5,5,2,6,3,4,6,4,7,7,7,4,5,7,1,5,1,1,1,3,1,1,4,7,7,7,7,4,4,7,6,3,1,1,1,3,1,4,5,7,7.21,276.435,277.695,85,3,1,2,1,5,2,3,1,3,4,4,3,4,3,3,2,2,2,2,2,3,2,3,2,1,3,2,1,3,3,1,1,5,5,3,1,5,1,1,1,5,5,4,2,5,3,3,1,3,2,3,4,5,3,1,1,5,5,5,1,5,4,3,1,1,1,2,1,5,1,1,1,3,2,4,1,4,3,3,1,5,3,3,3,3,3,1,1,3,4,5,2,2,3,1,1,5,5,5,5,5,5,2,3,4,4,5,4,4,4,2,2,5,4,4,4,2,1,1,2,5,5,5,5,5,5,5,5,2,1,2,4,5,3,5,4,2,2,3,3,5,2,5,2,3,3,3,4,4,3,2,1,1,1,1,1,1,1,1,1,15.147,460.593,464.454,172,4,5,1,2,4,2,1,4,1,2,4,1,1,3,3,3,1,2,3,1,1,1,2,2,1,1,1,1,4,5,4,1,3,5,1,2,15.217,128.387,129.588,38
3368,TRUE,1,5,1,6,3,6,5,7,5,7,2,2.557,35.06,35.884,13,3,2,4,2,3,3,3,4,3,2,3,2,3,4,3,3,2,2,3,4,10.908,720.517,722.593,37,4,5,4,4,4,4,3,4,1,4,2,3,4,150.775,855.759,856.914,16,Shilin H,Yuqin L,Zhixuan Z,Shuyue W,Bushu A,Bushu B,Buxiang A,Buxiang B,7.357,169.884,170.329,17,6,4,5,6,2,4,4,4,2,4,4,2,2,4,6,6,6,3,5,6,7,4,3,4,6,5,4,5,3,4,6,7,7,4,6,7,5,4,3,2,5,3,6,6,6,5,2,2,7,5,6,7,5,4,3,2,5,4,6,3,4,5,3,2,3,4,6,6,7,4,3,2,2,4,4,2,3,4,5,6,6.467,437.19,438.129,99,2,3,2,4,4,4,5,3,2,3,2,4,3,3,5,2,2,2,2,3,3,2,5,4,3,2,2,4,1,2,5,4,2,2,1,4,4,3,4,3,3,3,4,4,4,3,2,4,3,3,2,3,3,2,4,5,4,3,3,4,1,3,2,5,1,3,1,3,2,3,3,4,2,3,2,3,4,3,5,1,1,2,1,1,1,2,3,3,2,3,2,3,2,2,4,3,3,2,3,2,4,3,5,4,3,3,3,3,3,3,2,5,2,3,2,3,2,2,2,4,4,3,4,4,4,4,2,5,3,2,2,2,1,2,4,4,3,3,2,3,1,2,5,4,2,3,3,3,2,3,5,4,1,2,2,2,4,2,5,4,17.115,631.443,635.889,197,3,2,2,1,3,1,1,2,2,1,3,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,3,4,3,3,2,2,3,1,1,12.265,188.266,188.837,43
3618,TRUE,1,5,2,5,2,5,7,5,2,7,3,4.555,44.719,45.937,13,4,5,3,1,2,4,2,2,1,5,2,2,5,5,5,5,5,3,3,1,8.716,357.728,361.686,48,5,3,5,4,4,3,5,4,0,5,2,2,5,13.739,171.959,173.517,22,SAC,KASH,SHM,MMM,LUC,BILL,HAR,LIO,3.694,309.885,335.4,10,5,6,5,2,3,4,6,6,3,1,1,6,5,3,3,4,5,7,4,5,2,4,4,1,2,1,2,6,7,2,2,7,4,6,5,3,2,4,6,4,5,6,5,2,2,2,2,1,5,6,5,1,5,5,6,6,3,3,3,5,3,3,4,5,5,6,6,2,2,3,3,3,3,2,4,2,5,5,2,2,28.149,766.746,768.614,115,2,2,2,3,4,3,4,4,4,4,5,5,5,5,5,5,3,2,3,5,4,2,3,3,2,1,2,4,4,3,4,3,2,2,2,4,5,2,3,3,2,2,2,5,4,3,4,4,2,2,2,4,4,3,4,4,2,2,2,5,2,3,3,3,2,2,2,2,2,2,4,4,2,2,2,4,2,3,2,2,1,1,1,3,3,2,4,4,2,4,4,2,3,3,3,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,4,2,4,2,2,3,2,3,5,3,3,2,2,2,2,2,4,2,4,3,3,3,2,2,5,1,4,1,1,21.575,1468.792,1470.153,190,3,5,1,3,4,2,1,3,1,2,3,2,1,2,2,4,2,1,3,2,2,1,1,1,2,3,1,4,5,4,5,1,3,4,2,1,20.233,305.907,306.299,48
1906,TRUE,1,2,5,6,7,1,6,6,3,5,1,9.199,73.018,77.853,11,3,5,2,4,2,5,3,2,1,5,5,5,3,5,5,5,1,1,4,2,12.632,148.168,149.104,22,1,2,1,4,1,3,1,3,4,2,3,4,3,17.299,140.241,142.037,16,Mae W,Tom C,Cori G,Shannon B,Megan G,Shawn H,Mike P,Garrett R,7.674,124.625,131.325,12,3,1,2,7,6,1,5,7,2,5,2,7,5,5,7,7,5,5,7,2,7,6,1,1,7,7,4,7,5,6,2,2,5,2,2,4,3,5,1,1,5,6,6,1,2,5,1,1,7,6,5,2,1,5,1,1,3,2,1,1,1,3,7,5,3,5,5,1,6,5,1,4,5,1,5,2,5,5,5,7,7.856,389.345,397.36,88,5,4,2,3,2,3,5,4,4,5,2,4,2,5,3,1,2,2,5,2,5,1,2,5,5,3,5,5,5,4,3,5,1,4,3,2,5,3,1,1,2,5,3,2,5,4,2,4,2,4,4,2,5,5,2,2,5,5,1,5,3,1,4,2,1,1,1,5,1,1,4,5,3,5,4,3,4,5,1,2,5,5,3,4,1,4,4,5,4,4,5,5,5,4,1,2,3,4,2,5,3,5,2,2,5,5,2,5,5,5,5,5,4,4,4,2,3,4,1,1,5,5,5,3,5,4,2,2,1,1,1,1,3,3,4,5,4,4,3,2,2,3,2,3,5,5,4,5,3,3,4,2,1,2,1,1,2,4,2,4,14.663,707.628,712.095,176,3,3,1,1,3,1,1,3,2,2,3,1,1,1,2,4,1,1,1,1,3,2,2,1,1,1,1,4,4,4,3,2,1,3,1,1,10.952,184.465,186.186,37
1500,TRUE,1,3,4,7,4,4,5,7,2,4,5,5.454,37.167,38.083,11,5,5,2,4,1,5,4,5,1,4,3,2,5,5,5,5,3,5,5,1,10.43,135.099,136.157,24,4,1,2,2,4,4,1,3,1,4,1,4,4,11.005,90.231,91.157,14,kam,liver,bird,jules,kirsty,cars,maris,linds,7.978,11.669,98.83,2,7,2,6,7,7,1,3,7,1,1,3,6,6,1,7,6,7,7,7,5,5,7,2,3,1,3,4,3,5,5,4,7,7,6,6,7,6,2,4,6,1,7,2,1,2,7,3,1,7,7,5,5,5,7,2,5,5,1,2,4,4,1,4,4,7,6,6,5,2,3,2,1,2,4,4,3,2,4,4,4,11.31,279.529,280.836,89,5,2,4,4,3,1,3,4,4,2,4,3,2,2,3,5,1,1,2,2,4,1,3,4,4,4,3,1,1,4,1,1,1,4,3,3,5,4,1,3,5,5,5,4,5,3,4,5,1,5,4,3,4,5,3,4,5,3,3,5,4,3,5,3,1,1,1,2,1,1,2,1,1,3,4,1,1,4,5,1,3,4,3,3,4,5,2,3,1,3,4,1,2,5,4,1,3,5,4,3,2,5,3,5,1,5,2,4,3,5,2,4,5,5,5,4,2,5,2,2,5,5,4,5,3,5,2,2,5,1,3,3,1,1,4,2,3,2,4,4,5,4,4,4,3,3,3,4,5,3,5,5,5,3,3,2,2,3,3,2,18.824,529.218,530.753,192,3,2,4,2,3,1,3,3,2,2,4,1,1,2,3,3,1,3,4,1,5,2,1,2,2,1,1,4,4,5,4,2,2,5,1,2,4.836,176.102,180.4,45
4314,TRUE,1,5,2,7,7,6,3,6,3,5,2,2.493,23.989,24.796,11,3,5,4,1,5,2,2,5,2,5,2,4,5,5,5,5,2,2,3,1,7.103,107.838,109.789,26,4,4,4,5,5,3,4,3,4,3,3,1,4,4.063,64.965,65.949,23,Ryan L,Megan G,Greg G,Karen G,Jodie K,Beth R,Luke L,Alexis C,1.405,63.26,78.31,9,6,6,7,1,4,4,1,5,2,5,2,6,2,5,5,6,5,5,5,7,5,7,2,3,5,6,7,1,6,3,2,6,7,5,5,3,3,6,3,6,1,2,1,7,5,3,5,2,6,5,6,3,7,5,1,3,3,5,3,1,1,5,2,6,6,5,3,7,5,6,3,3,2,3,2,6,6,3,5,2,4.451,247.521,249.635,88,5,3,4,2,2,2,3,4,5,5,5,5,5,5,5,5,5,2,4,5,3,4,3,4,3,5,2,5,2,3,2,4,5,3,5,5,2,4,2,2,5,4,5,2,2,3,4,4,4,5,4,4,3,2,4,3,5,5,4,3,2,2,5,4,5,3,5,2,1,3,4,4,5,4,5,3,5,4,4,3,3,5,5,4,3,4,2,4,4,5,5,4,4,3,3,5,3,3,4,2,4,2,4,5,5,4,5,4,5,5,5,5,2,2,5,1,3,2,1,2,5,5,5,5,5,5,5,5,1,1,2,5,3,3,4,2,1,2,1,4,2,2,4,2,5,2,4,2,2,3,5,3,2,2,2,4,2,3,4,4,12.375,1342.642,1343.627,178,4,4,2,2,2,1,4,3,3,2,4,1,2,4,4,3,1,2,4,2,4,1,3,2,1,3,3,1,5,4,5,3,3,3,1,3,67.493,247.147,248.409,38
1795,TRUE,1,3,4,7,7,7,6,5,2,4,1,4.214,54.08,55.376,13,5,4,2,3,4,5,1,3,1,3,1,5,3,3,4,4,1,4,3,2,8.688,222.403,223.448,20,4,3,1,5,2,3,1,4,4,4,1,1,4,43.209,132.164,133.451,15,Sahar T,Hannah A,Lydia A,Audrey A,Mariah M,Sarah M,Sarah R,David A,17.733,303.1,320.289,18,5,4,5,4,7,3,5,7,4,4,4,4,4,4,4,7,7,6,4,2,2,5,5,5,2,4,4,5,2,6,1,6,6,4,6,4,6,4,6,5,2,4,4,2,1,4,2,1,6,7,6,2,3,6,5,4,1,2,2,5,5,4,2,5,4,6,7,2,4,4,6,2,1,2,1,7,7,5,2,2,9.941,327.407,330.549,96,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,2,5,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,4,4,4,3,3,3,4,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,5,4,2,2,1,2,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,2,3,3,3,3,2,3,2,2,3,3,3,3,2,3,21.269,179.592,184.943,176,3,4,3,3,4,2,2,3,3,3,4,2,2,3,3,3,3,2,3,2,2,2,2,1,4,3,2,2,3,3,5,3,2,4,2,1,11.607,139.866,141.563,40
1586,TRUE,1,6,1,7,5,7,2,7,1,6,2,41.111,89.58,91.992,14,5,5,4,5,4,5,5,5,3,5,4,4,5,5,5,5,3,3,5,3,6.612,146.163,147.613,26,5,3,4,5,5,4,3,4,3,3,3,3,3,20.42,81.649,83.441,14,PD,HD,CK,MS,AM,BM,Brutus,Buckeye,17.504,171.963,182.325,9,7,7,4,6,7,7,4,4,1,2,1,1,5,1,4,4,7,4,7,6,4,6,4,4,1,1,6,3,6,3,4,4,7,7,6,6,5,5,4,4,1,3,3,3,3,1,4,4,7,7,6,6,6,7,4,4,5,5,2,3,1,5,4,4,7,5,3,5,3,3,4,4,1,2,2,1,3,2,4,4,15.456,345.805,350.68,100,3,3,4,3,5,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,4,4,3,3,3,3,4,4,4,4,2,2,1,1,2,2,2,3,3,3,3,3,4,3,5,4,2,2,2,2,2,3,4,3,2,2,3,3,2,2,4,2,2,2,2,2,3,2,4,3,2,2,3,2,2,2,4,4,2,2,2,2,2,2,4,4,2,2,4,4,5,4,5,5,3,3,3,3,4,3,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,4,3,2,3,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,4,4,3,4,4,4,3,3,13.3,450.098,452.083,199,5,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,2,2,2,3,4,2,2,1,1,8.035,119.363,120.686,41
